Title,Summary,Time,Article Link
"Desperate office owners ask for a token HK$1 in world’s costliest city
            ","The desperation of commercial landlords underscores how Hong Kong’s political crisis has disrupted the decade-long bull run in the city’s property market, causing commercial and private property prices to fall across the city.",2 hours ago,https://scmp.com/print/business/companies/article/3033979/desperate-landlords-offer-some-worlds-costliest-office-towers
"China’s Wang Yi blames foreign forces for ‘sowing chaos’ in Hong Kong
            ","Protests are being encouraged from abroad to destabilise the city and are ‘violence, pure and simple’, foreign minister Wang Yi says after 20th successive weekend of unrest.",22 Oct 2019 - 1:53PM,https://scmp.com/print/news/china/article/3033963/chinas-wang-yi-blames-foreign-forces-sowing-chaos-hong-kong
"Event for region’s top judges put on hold because of Hong Kong protests
            ",Postponement of the 18th Conference of Chief Justices of Asia and the Pacific adds to the growing list of international events affected by the city’s ongoing political turmoil.,22 Oct 2019 - 10:17AM,https://scmp.com/print/news/hong-kong/politics/article/3033725/hong-kong-protests-organisers-postpone-event-top-judges
"Stocks Blog: China Resources Land tanks on plan for new shares; China mutual funds bulk up on tech stocks
            ","AAC Technologies, Geely Automobile end as big winners on Hang Seng; Shanghai Composite sees second day of gains, thanks to small technology companies",22 Oct 2019 - 5:12PM,https://scmp.com/print/business/markets/article/3033957/stocks-blog-trump-says-us-china-trade-deal-coming-along-very-well
"Why Hong Kong ‘radicals’ have turned on mainland China targets
            ","Businesses and people with ties to mainland China have been in the firing line of a nativist group of protesters, observers say.",22 Oct 2019 - 12:58PM,https://scmp.com/print/news/china/politics/article/3033909/taking-aim-china-why-hong-kong-radicals-have-turned-mainland
"Letters | Why Hong Kong media needs to stop blaming Carrie Lam
            ","Critics of the latest policy address are indifferent to its contents, choosing rather to highlight the lack of a response to the five demands of protesters. The implicit support of misguided critics is the reason protesters are not retreating.",22 Oct 2019 - 8:15AM,https://scmp.com/print/comment/letters/article/3033882/why-hong-kong-media-must-stop-blaming-carrie-lam-it-sends-out
"Letters | Broken city living in terror as mob violence overtakes life
            ",,22 Oct 2019 - 7:15AM,https://scmp.com/print/comment/letters/article/3033888/yes-democracy-and-free-speech-does-not-mean-yes-violent-protests
"Hong Kong district council elections: how opposition camp plans to put up a fierce fight
            ","In the first of a four-part series looking ahead to November’s district council elections, we examine what is at stake for both sides.",22 Oct 2019 - 9:07AM,https://scmp.com/print/news/hong-kong/politics/article/3033784/hong-kongs-district-council-elections-how-opposition-camp
"Letters | Protest movement risks killing its aims with anti-China poison
            ","Hatred of China and all things Chinese is fuelling the protest violence. By aiming their fury at the ‘outsider’, radical protesters will only ensure that the many reasonable demands of the anti-government movement go unheard.",22 Oct 2019 - 6:35AM,https://scmp.com/print/comment/letters/article/3033834/why-hong-kong-protesters-must-give-anti-china-nationalism
"Tear gas, petrol bombs and vandalism as chaos returns to Yuen Long
            ",Demonstrators occupy section of Castle Peak Road and set up makeshift barricades to block traffic in the evening.,22 Oct 2019 - 11:18AM,https://scmp.com/print/news/hong-kong/politics/article/3033945/hong-kong-protests-chaos-returns-streets-yuen-long-riot
