Title,Summary,Time,Article Link
"Hong Kong police watchdog ‘lacks power’ to probe force conduct during protests
            ","‘Light touch’ Independent Police Complaints Council, which is investigating allegations against officers at demonstrations, has ‘shortfall’ in capabilities, expert panel says.",5 hours ago,https://scmp.com/print/news/hong-kong/politics/article/3037080/hong-kong-police-watchdog-does-not-have-powers-and
"Hong Kong schools less popular with Chinese parents in Shenzhen
            ","Continuing unrest, anti-mainland sentiment and a long commute for ‘cross-border’ kids behind spike in inquiries to international schools.",6 hours ago,https://scmp.com/print/news/china/society/article/3037043/hong-kong-schools-less-popular-chinese-parents-shenzhen
"Need for national security law in Hong Kong ‘becoming urgent’
            ","Steps must also be taken to prevent ‘foreign forces’ from interfering in city’s affairs, director of Chinese central government’s Hong Kong and Macau Affairs Office says.",10 Nov 2019 - 11:04AM,https://scmp.com/print/news/china/politics/article/3037048/need-national-security-law-hong-kong-becoming-urgent-beijing
"Letters | Protests will rage on until elites start feeling the pinch
            ",,10 Nov 2019 - 8:30AM,https://scmp.com/print/comment/letters/article/3036897/long-hong-kong-elite-dont-feel-pinch-protests-are-likely-rage
"Letters | What protesting Hong Kong youth need is not national education
            ","To prevent future unrest, Hong Kong youth need to be taught media and information literacy, rather than patriotism, so that they are not swayed by fake news.",6 hours ago,https://scmp.com/print/comment/letters/article/3036937/what-protesting-hong-kong-youth-need-lessons-how-tell-fake-news
"Letters | Why Hong Kong police would benefit from commission of inquiry
            ","As professionalism is pushed to its limits, the responsibilities should not fall solely on overwhelmed frontline officers. A commission of inquiry would be a first step to getting them out of the quagmire.",10 Nov 2019 - 7:00AM,https://scmp.com/print/comment/letters/article/3036763/hong-kong-police-clearly-feeling-pressure-months-mass-protests
"Letters | The NBA stood up to China, it’s time more brands did the same
            ",,10 Nov 2019 - 5:35AM,https://scmp.com/print/comment/letters/article/3036729/nba-stood-china-free-speech-defence-its-about-time-more-brands-did
"Letters | Are Hong Kong protesters influencing New York, or vice versa?
            ",,10 Nov 2019 - 2:00AM,https://scmp.com/print/comment/letters/article/3036550/are-new-york-protesters-copying-hong-kong-or-other-way-around
"Hong Kong teenager has abortion following claim of gang-rape in police station
            ",Police say investigation does not match with girl’s description of the station and room ‘not matching reality’,10 Nov 2019 - 1:29AM,https://scmp.com/print/news/hong-kong/law-and-crime/article/3037063/hong-kong-teenager-has-abortion-following-allegations
"Hongkongers hold peaceful vigil for student killed in fall
            ","Gathering at Tamar Park, and another near the scene of Chow’s injuries, sombre and subdued compared with recent street clashes. But there are still flashes of anger against police, and calls for revenge.",10 Nov 2019 - 1:28AM,https://scmp.com/print/news/hong-kong/politics/article/3037061/peaceful-vigil-central-hong-kong-student-protester-killed
"Hong Kong barristers hit back at Beijing’s comments on judiciary
            ","Vice-Premier Han Zheng said ending months of violence was the ‘common responsibility of the city’s executive, legislative and judicial bodies’. But the Bar Association says exhorting judges to help the government could be seen as a threat to their independence.",9 Nov 2019 - 11:21PM,https://scmp.com/print/news/hong-kong/politics/article/3037054/hong-kong-protests-rage-barristers-hit-back-beijings
"Pro-government supporters in Hong Kong slam ‘cowardly’ vigilante attacks
            ","In first briefing of its kind, styled on protest movement’s own ‘citizens’ press conference’, a former police officer reveals how his daughter was targeted while others call for city to return to peace.",9 Nov 2019 - 11:21PM,https://scmp.com/print/news/hong-kong/politics/article/3037053/hong-kong-protests-pro-government-supporters-call-city
"As it happened: thousands gather for rally to mourn death of student
            ","Chow Tsz-lok, an undergraduate at the Hong Kong University of Science and Technology, reportedly fell from a car park in Tseung Kwan O in the early hours of Monday near police operations, later dying from brain injuries.",9 Nov 2019 - 11:38PM,https://scmp.com/print/news/hong-kong/politics/article/3036943/crowd-gathers-rally-tamar-park-admiralty-mourn-death-hong
"Hong Kong protests: 10 top reads as city marks 5 months of unrest
            ","It started with a peaceful march. It has turned into months of social unrest, violence, hatred in society, a beleaguered government and police force and no end in sight",10 Nov 2019 - 8:53AM,https://scmp.com/print/news/hong-kong/politics/article/3037034/hong-kong-protests-10-top-reads-citys-social-unrest-marks
"Attack on TVB cameraman by protesters condemned by media groups
            ","Broadcaster’s employee was covering incident in Mong Kok when he was set upon by protesters, while media outlet HK01 was also targeted, with company vehicle smashed in Tseung Kwan O.",9 Nov 2019 - 11:21PM,https://scmp.com/print/news/hong-kong/politics/article/3037033/attack-cameraman-hong-kong-protesters-condemned-citys-media
"Mainland Chinese students flee Hong Kong fearing they will be attacked next
            ",Exodus of Hong Kong University of Science and Technology students follows violent reaction from protesters to death of undergraduate Chow Tsz-lok.,10 Nov 2019 - 12:00AM,https://scmp.com/print/news/hong-kong/politics/article/3037026/scores-chinese-students-flee-hong-kong-over-fears-they-will
"Hong Kong lawmaker arrests ‘paving the way’ for election cancellation
            ",Opposition camp slams ‘mass arrest’ of seven of its lawmakers on the same night city mourned the death of student from injuries sustained during a police operation. But minister for mainland affairs says there is no link with district council elections.,10 Nov 2019 - 2:42AM,https://scmp.com/print/news/hong-kong/politics/article/3037022/hong-kong-opposition-camp-slams-arrest-seven-lawmakers
"A new Steam game lets you fight as a Hong Kong protester
            ","Liberate Hong Kong was inspired by Blizzard’s Blitzchung controversy, and now it’s making Steam the next battleground for protesters",9 Nov 2019 - 10:00AM,https://scmp.com/print/tech/apps-social/article/3037019/new-steam-game-lets-you-fight-hong-kong-protester
